,id,elixir,link,name,level1,hitpoints1,damage1,level2,hitpoints2,damage2,level3,hitpoints3,damage3,level4,hitpoints4,damage4,level5,hitpoints5,damage5,level6,hitpoints6,damage6,level7,hitpoints7,damage7,level8,hitpoints8,damage8,level9,hitpoints9,damage9,level10,hitpoints10,damage10,level11,hitpoints11,damage11,level12,hitpoints12,damage12,level13,hitpoints13,damage13,level14,hitpoints14,damage14
0,Skellies,1,https://www.deckshop.pro/card/detail/Skellies,Skeletons,1,32,96,2,35,105,3,38,114,4,42,126,5,46,138,6,51,153,7,56,168,8,61,183,9,67,201,10,74,222,11,81,243,12,89,267,13,98,294,14,108,324
1,IceSpirit,1,https://www.deckshop.pro/card/detail/IceSpirit,Ice Spirit,1,90,43,2,99,47,3,108,52,4,119,57,5,131,62,6,144,68,7,158,75,8,173,82,9,190,91,10,209,100,11,230,110,12,252,120,13,278,132,14,305,145
2,Heal,1,https://www.deckshop.pro/card/detail/Heal,Heal,1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4,0.0,0.0,5,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8,0.0,0.0,9,0.0,0.0,10,0.0,0.0,11,0.0,0.0,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0
3,Gobs,2,https://www.deckshop.pro/card/detail/Gobs,Goblins,1,79,141,2,86,153,3,95,168,4,105,186,5,115,204,6,126,225,7,139,246,8,152,270,9,167,297,10,184,327,11,202,360,12,221,396,13,244,435,14,267,477
4,SpearGobs,2,https://www.deckshop.pro/card/detail/SpearGobs,Spear Goblins,1,52,96,2,57,105,3,62,114,4,69,126,5,75,138,6,83,153,7,91,168,8,100,183,9,110,201,10,121,222,11,133,243,12,146,267,13,160,294,14,176,324
5,Zap,2,https://www.deckshop.pro/card/detail/Zap,Zap,1,0,75,2,0,82,3,0,90,4,0,99,5,0,109,6,0,120,7,0,132,8,0,144,9,0,159,10,0,174,11,0,192,12,0,210,13,0,231,14,0,254
6,Bats,2,https://www.deckshop.pro/card/detail/Bats,Bats,1,32,160,2,35,175,3,38,190,4,42,210,5,46,230,6,51,255,7,56,280,8,61,305,9,67,335,10,74,370,11,81,405,12,89,445,13,98,490,14,108,540
7,FireSpirits,2,https://www.deckshop.pro/card/detail/FireSpirits,Fire Spirits,1,43,252,2,47,276,3,52,303,4,57,333,5,62,366,6,68,402,7,75,441,8,82,486,9,91,534,10,100,585,11,110,645,12,120,708,13,132,777,14,145,852
8,Snowball,2,https://www.deckshop.pro/card/detail/Snowball,Giant Snowball,1,0,75,2,0,82,3,0,90,4,0,99,5,0,109,6,0,120,7,0,132,8,0,144,9,0,159,10,0,174,11,0,192,12,0,210,13,0,231,14,0,254
9,IceGolem,2,https://www.deckshop.pro/card/detail/IceGolem,Ice Golem,1,0,0,2,0,0,3,565,40,4,621,44,5,683,48,6,751,53,7,824,58,8,904,64,9,994,70,10,1090,77,11,1197,84,12,1316,93,13,1446,102,14,1587,112
